Group No., Group Name,  Disbursement Date ,Total Disbursement
523,Waru (2) 523,2015-06-14T17:00:00.000Z,8300000.0
862,Mundu 862,2015-06-14T17:00:00.000Z,8800000.0
40,Kavling (2) 40,2015-06-14T17:00:00.000Z,23500000.0
191,Bulak A 191,2015-06-15T17:00:00.000Z,17500000.0
190,Bulak A 190 ,2015-06-15T17:00:00.000Z,20500000.0
859,Lontar 859,2015-06-15T17:00:00.000Z,7800000.0
247,Lorong (2) 247,2015-06-16T17:00:00.000Z,13100000.0
502,Dukuh (2) 502,2015-06-16T17:00:00.000Z,13800000.0
234,Pelabuhan (4) 234,2015-06-16T17:00:00.000Z,20000000.0
203,Manggar (2) 203,2015-06-16T17:00:00.000Z,17700000.0
202,Manggar (3) 202,2015-06-16T17:00:00.000Z,16300000.0
197,Landak (4) 197,2015-06-10T17:00:00.000Z,14400000.0
75,Macan (3) 75,2015-06-10T17:00:00.000Z,17900000.0
450,Rawa Indah (2) 450,2015-06-10T17:00:00.000Z,12100000.0
205,Lagoa (3) 205,2015-06-10T17:00:00.000Z,14700000.0
306,Lagter 306,2015-06-10T17:00:00.000Z,11000000.0
443,Lagter (2) 443,2015-06-11T17:00:00.000Z,15400000.0
475,Kobra (3) 475,2015-06-11T17:00:00.000Z,14000000.0
861,Sungai Bambu 861,2015-06-11T17:00:00.000Z,7100000.0
855,Swasembada Barat 855,2015-06-11T17:00:00.000Z,8500000.0
474,Kobra (3) 474,2015-06-11T17:00:00.000Z,12100000.0
854,Swasembada Timur 854,2015-06-11T17:00:00.000Z,7200000.0
206,Lagoa (3) 206,2015-06-11T17:00:00.000Z,18500000.0
860,Sungai Bambu 860,2015-06-11T17:00:00.000Z,7900000.0
862,Mundu 862,2015-06-14T17:00:00.000Z,8800000.0
40,Kavling (2) 40,2015-06-14T17:00:00.000Z,23500000.0
349,Kavling (2) 349,2015-06-14T17:00:00.000Z,19500000.0
523,Waru (2) 523,2015-06-14T17:00:00.000Z,8300000.0
859,Lontar 859,2015-06-15T17:00:00.000Z,7800000.0
190,Bulak A 190 ,2015-06-15T17:00:00.000Z,20500000.0
191,Bulak A 191,2015-06-15T17:00:00.000Z,17500000.0
247,Lorong (2) 247,2015-06-16T17:00:00.000Z,13100000.0
202,Manggar (3) 202,2015-06-16T17:00:00.000Z,16300000.0
203,Manggar (2) 203,2015-06-16T17:00:00.000Z,17700000.0
271,Jalan F (3) 271,2015-06-16T17:00:00.000Z,17600000.0
234,Pelabuhan (4) 234,2015-06-16T17:00:00.000Z,20000000.0
502,Dukuh (2) 502,2015-06-16T17:00:00.000Z,13800000.0
533,Lorong (2) 533,2015-06-16T17:00:00.000Z,14100000.0
331,Sindang (2) 331,2015-06-16T17:00:00.000Z,9600000.0
209,Blok R (3) 209,2015-06-17T17:00:00.000Z,15800000.0
485,Karya (3) 485,2015-06-17T17:00:00.000Z,21500000.0
867,Sungai Landak 867,2015-06-17T17:00:00.000Z,8400000.0
504,Rusun Marunda (2) 504,2015-06-17T17:00:00.000Z,12500000.0
269,Jalan F (3) 269,2015-06-17T17:00:00.000Z,20500000.0
503,Marunda 503,2015-06-17T17:00:00.000Z,12100000.0
511,Belimbing (2) 511,2015-06-17T17:00:00.000Z,11300000.0
848,Beting 848,2015-06-17T17:00:00.000Z,6200000.0
186,Sungai Landak 186,2015-06-17T17:00:00.000Z,11700000.0
32,Jalan F (3) 32,2015-06-17T17:00:00.000Z,16500000.0
208,Beting (3) 208,2015-06-17T17:00:00.000Z,15800000.0
469,Beting (2) 469,2015-06-17T17:00:00.000Z,16500000.0
484,Merdeka (3) 484,2015-06-17T17:00:00.000Z,17500000.0
864,Tanah Merah 864,2015-06-18T17:00:00.000Z,7600000.0
863,Tanah Merah 863,2015-06-18T17:00:00.000Z,7400000.0
480,Teladan (3) 480,2015-06-21T17:00:00.000Z,14700000.0
479,Teladan (3) 479,2015-06-21T17:00:00.000Z,9700000.0
873,Cemara 873,2015-06-22T17:00:00.000Z,7200000.0
526,Marunda (2) 526,2015-06-22T17:00:00.000Z,13300000.0
23,Mawar (2) 23,2015-06-22T17:00:00.000Z,11100000.0
291,Mawar (2) 291,2015-06-22T17:00:00.000Z,15300000.0
527,Marunda (2) 527,2015-06-22T17:00:00.000Z,11800000.0
502,Dukuh (2) 502,2015-06-16T17:00:00.000Z,13800000.0
533,Lorong (2) 533,2015-06-16T17:00:00.000Z,14100000.0
331,Sindang (2) 331,2015-06-16T17:00:00.000Z,9600000.0
209,Blok R (3) 209,2015-06-17T17:00:00.000Z,15800000.0
485,Karya (3) 485,2015-06-17T17:00:00.000Z,21500000.0
867,Sungai Landak 867,2015-06-17T17:00:00.000Z,8400000.0
504,Rusun Marunda (2) 504,2015-06-17T17:00:00.000Z,12500000.0
269,Jalan F (3) 269,2015-06-17T17:00:00.000Z,20500000.0
503,Marunda 503,2015-06-17T17:00:00.000Z,12100000.0
511,Belimbing (2) 511,2015-06-17T17:00:00.000Z,11300000.0
848,Beting 848,2015-06-17T17:00:00.000Z,6200000.0
186,Sungai Landak 186,2015-06-17T17:00:00.000Z,11700000.0
32,Jalan F (3) 32,2015-06-17T17:00:00.000Z,16500000.0
208,Beting (3) 208,2015-06-17T17:00:00.000Z,15800000.0
469,Beting (2) 469,2015-06-17T17:00:00.000Z,16500000.0
484,Merdeka (3) 484,2015-06-17T17:00:00.000Z,17500000.0
864,Tanah Merah 864,2015-06-18T17:00:00.000Z,7600000.0
863,Tanah Merah 863,2015-06-18T17:00:00.000Z,7400000.0
480,Teladan (3) 480,2015-06-21T17:00:00.000Z,14700000.0
479,Teladan (3) 479,2015-06-21T17:00:00.000Z,9700000.0
873,Cemara 873,2015-06-22T17:00:00.000Z,7200000.0
526,Marunda (2) 526,2015-06-22T17:00:00.000Z,13300000.0
23,Mawar (2) 23,2015-06-22T17:00:00.000Z,11100000.0
291,Mawar (2) 291,2015-06-22T17:00:00.000Z,15300000.0
527,Marunda (2) 527,2015-06-22T17:00:00.000Z,11800000.0
532,Kampung Sawah 532,2015-06-22T17:00:00.000Z,11800000.0
870,Kebon Bawang 870,2015-06-22T17:00:00.000Z,6600000.0
871,Kebon Bawang 871,2015-06-22T17:00:00.000Z,11000000.0
494,Kebon Baru (2) 494,2015-06-22T17:00:00.000Z,16000000.0
586,Kampung Sawah (2) 586,2015-06-22T17:00:00.000Z,7400000.0
519,Beting (2) 519,2015-06-22T17:00:00.000Z,9900000.0
875,Swadaya 875,2015-06-23T17:00:00.000Z,7200000.0
561,Aspol (2) 561,2015-06-23T17:00:00.000Z,9100000.0
212,Semprotan (3) 212,2015-06-23T17:00:00.000Z,13500000.0
868,Jalan Baru 868,2015-06-23T17:00:00.000Z,8200000.0
872,Deperla 872,2015-06-23T17:00:00.000Z,6800000.0
865,Kompi Jenggot 865,2015-06-23T17:00:00.000Z,8100000.0
866,Kompi Jenggot 866,2015-06-23T17:00:00.000Z,7100000.0
195,Deperla (3) 195,2015-06-23T17:00:00.000Z,13500000.0
874,Swasembada 874,2015-06-23T17:00:00.000Z,8400000.0
560,Aspol (2) 560,2015-06-23T17:00:00.000Z,8400000.0
869,Tanah Merdeka 869,2015-06-23T17:00:00.000Z,6600000.0
194,Deperla (3) 194,2015-06-23T17:00:00.000Z,19500000.0
489,Semprotan (3) 489,2015-06-23T17:00:00.000Z,12700000.0
590,Semprotan (2) 590,2015-06-23T17:00:00.000Z,7500000.0
482,Beting (3) 482,2015-06-24T17:00:00.000Z,12600000.0
876,Pelelangan 876,2015-06-24T17:00:00.000Z,6400000.0
515,Marunda 515,2015-06-24T17:00:00.000Z,16000000.0
199,Kelapa Dua 199,2015-06-24T17:00:00.000Z,12300000.0
518,Marunda 518,2015-06-24T17:00:00.000Z,12400000.0
532,Kampung Sawah 532,2015-06-22T17:00:00.000Z,11800000.0
870,Kebon Bawang 870,2015-06-22T17:00:00.000Z,6600000.0
871,Kebon Bawang 871,2015-06-22T17:00:00.000Z,11000000.0
494,Kebon Baru (2) 494,2015-06-22T17:00:00.000Z,16000000.0
586,Kampung Sawah (2) 586,2015-06-22T17:00:00.000Z,7400000.0
519,Beting (2) 519,2015-06-22T17:00:00.000Z,9900000.0
875,Swadaya 875,2015-06-23T17:00:00.000Z,7200000.0
561,Aspol (2) 561,2015-06-23T17:00:00.000Z,9100000.0
212,Semprotan (3) 212,2015-06-23T17:00:00.000Z,13500000.0
868,Jalan Baru 868,2015-06-23T17:00:00.000Z,8200000.0
872,Deperla 872,2015-06-23T17:00:00.000Z,6800000.0
865,Kompi Jenggot 865,2015-06-23T17:00:00.000Z,8100000.0
866,Kompi Jenggot 866,2015-06-23T17:00:00.000Z,7100000.0
195,Deperla (3) 195,2015-06-23T17:00:00.000Z,13500000.0
874,Swasembada 874,2015-06-23T17:00:00.000Z,8400000.0
560,Aspol (2) 560,2015-06-23T17:00:00.000Z,8400000.0
869,Tanah Merdeka 869,2015-06-23T17:00:00.000Z,6600000.0
194,Deperla (3) 194,2015-06-23T17:00:00.000Z,19500000.0
489,Semprotan (3) 489,2015-06-23T17:00:00.000Z,12700000.0
590,Semprotan (2) 590,2015-06-23T17:00:00.000Z,7500000.0
482,Beting (3) 482,2015-06-24T17:00:00.000Z,12600000.0
876,Pelelangan 876,2015-06-24T17:00:00.000Z,6400000.0
515,Marunda 515,2015-06-24T17:00:00.000Z,16000000.0
199,Kelapa Dua 199,2015-06-24T17:00:00.000Z,12300000.0
518,Marunda 518,2015-06-24T17:00:00.000Z,12400000.0
512,Marunda (2) 512,2015-06-24T17:00:00.000Z,12400000.0
198,Kelapa Dua 198,2015-06-24T17:00:00.000Z,21000000.0
877,Tanah Merdeka 877,2015-06-24T17:00:00.000Z,6000000.0
483,Beting (3) 483,2015-06-24T17:00:00.000Z,17500000.0
287,Kamboja (3) 287,2015-06-25T17:00:00.000Z,13600000.0
514,Lagter (2) 514,2015-06-25T17:00:00.000Z,13400000.0
513,Lagter (2) 513,2015-06-25T17:00:00.000Z,14200000.0
263,Kamboja (3) 263,2015-06-25T17:00:00.000Z,15900000.0
185,Binangun (3) 185,2015-06-25T17:00:00.000Z,14200000.0
219,Rawa Binangun 219,2015-06-25T17:00:00.000Z,15500000.0
89,Pasir (2) 89,2015-06-25T17:00:00.000Z,23500000.0
218,Rawa Binangun 218,2015-06-25T17:00:00.000Z,13800000.0
85,Binangun (3) 85,2015-06-25T17:00:00.000Z,21000000.0
83,Banten (4) 83,2015-06-25T17:00:00.000Z,15800000.0
530,Kebantenan 530,2015-06-25T17:00:00.000Z,10100000.0
204,Pasir (2) 204,2015-06-25T17:00:00.000Z,14200000.0
97,Kamboja (3) 97,2015-06-25T17:00:00.000Z,20600000.0
617,Sutim 617,2015-06-28T17:00:00.000Z,8200000.0
368,Sutim 368,2015-06-28T17:00:00.000Z,9800000.0
574,Lagoa (2) 574,2015-06-28T17:00:00.000Z,8900000.0
879,Lagoa 879,2015-06-28T17:00:00.000Z,7600000.0
253,Bulak (3) 253,2015-06-29T17:00:00.000Z,12900000.0
882,UKA 882,2015-06-29T17:00:00.000Z,6900000.0
878,UKA 878,2015-06-29T17:00:00.000Z,10100000.0
90,Melintang (3) 90,2015-06-29T17:00:00.000Z,17500000.0
512,Marunda (2) 512,2015-06-24T17:00:00.000Z,12400000.0
198,Kelapa Dua 198,2015-06-24T17:00:00.000Z,21000000.0
877,Tanah Merdeka 877,2015-06-24T17:00:00.000Z,6000000.0
483,Beting (3) 483,2015-06-24T17:00:00.000Z,17500000.0
287,Kamboja (3) 287,2015-06-25T17:00:00.000Z,13600000.0
514,Lagter (2) 514,2015-06-25T17:00:00.000Z,13400000.0
513,Lagter (2) 513,2015-06-25T17:00:00.000Z,14200000.0
263,Kamboja (3) 263,2015-06-25T17:00:00.000Z,15900000.0
185,Binangun (3) 185,2015-06-25T17:00:00.000Z,14200000.0
219,Rawa Binangun 219,2015-06-25T17:00:00.000Z,15500000.0
89,Pasir (2) 89,2015-06-25T17:00:00.000Z,23500000.0
218,Rawa Binangun 218,2015-06-25T17:00:00.000Z,13800000.0
85,Binangun (3) 85,2015-06-25T17:00:00.000Z,21000000.0
83,Banten (4) 83,2015-06-25T17:00:00.000Z,15800000.0
530,Kebantenan 530,2015-06-25T17:00:00.000Z,10100000.0
204,Pasir (2) 204,2015-06-25T17:00:00.000Z,14200000.0
97,Kamboja (3) 97,2015-06-25T17:00:00.000Z,20600000.0
617,Sutim 617,2015-06-28T17:00:00.000Z,8200000.0
368,Sutim 368,2015-06-28T17:00:00.000Z,9800000.0
574,Lagoa (2) 574,2015-06-28T17:00:00.000Z,8900000.0
879,Lagoa 879,2015-06-28T17:00:00.000Z,7600000.0
253,Bulak (3) 253,2015-06-29T17:00:00.000Z,12900000.0
882,UKA 882,2015-06-29T17:00:00.000Z,6900000.0
878,UKA 878,2015-06-29T17:00:00.000Z,10100000.0
90,Melintang (3) 90,2015-06-29T17:00:00.000Z,17500000.0
249,Melintang (3) 249,2015-06-29T17:00:00.000Z,12400000.0
568,Kampung Sawah (2) 568,2015-06-29T17:00:00.000Z,11700000.0
569,Kampung Sawah (2) 569,2015-06-29T17:00:00.000Z,11600000.0
255,UKA (4) 255,2015-06-29T17:00:00.000Z,16500000.0
880,Sukapura 880,2015-06-29T17:00:00.000Z,6000000.0
881,Sukapura 881,2015-06-29T17:00:00.000Z,6200000.0
329,Jampea (4) 329,2015-06-30T17:00:00.000Z,15500000.0
562,Sarang Bango (2) 562,2015-06-30T17:00:00.000Z,10500000.0
886,Pelelangan 886,2015-06-30T17:00:00.000Z,6200000.0
567,Salak (2) 567,2015-06-30T17:00:00.000Z,11400000.0
592,Aspol (2) 592,2015-06-30T17:00:00.000Z,11500000.0
333,Sindang (3) 333,2015-06-30T17:00:00.000Z,23300000.0
591,Aspol (2) 591,2015-06-30T17:00:00.000Z,12800000.0
555,Malaka Bulak (2) 555,2015-06-30T17:00:00.000Z,8000000.0
580,Malaka Bulak 580,2015-06-30T17:00:00.000Z,12700000.0
579,Gang Kober 579,2015-06-30T17:00:00.000Z,10000000.0
249,Melintang (3) 249,2015-06-29T17:00:00.000Z,12400000.0
568,Kampung Sawah (2) 568,2015-06-29T17:00:00.000Z,11700000.0
569,Kampung Sawah (2) 569,2015-06-29T17:00:00.000Z,11600000.0
255,UKA (4) 255,2015-06-29T17:00:00.000Z,16500000.0
880,Sukapura 880,2015-06-29T17:00:00.000Z,6000000.0
881,Sukapura 881,2015-06-29T17:00:00.000Z,6200000.0
329,Jampea (4) 329,2015-06-30T17:00:00.000Z,15500000.0
562,Sarang Bango (2) 562,2015-06-30T17:00:00.000Z,10500000.0
886,Pelelangan 886,2015-06-30T17:00:00.000Z,6200000.0
567,Salak (2) 567,2015-06-30T17:00:00.000Z,11400000.0
592,Aspol (2) 592,2015-06-30T17:00:00.000Z,11500000.0
333,Sindang (3) 333,2015-06-30T17:00:00.000Z,23300000.0
591,Aspol (2) 591,2015-06-30T17:00:00.000Z,12800000.0
555,Malaka Bulak (2) 555,2015-06-30T17:00:00.000Z,8000000.0
580,Malaka Bulak 580,2015-06-30T17:00:00.000Z,12700000.0
579,Gang Kober 579,2015-06-30T17:00:00.000Z,10000000.0
