Group No., Group Name,  Disbursement Date ,Total Disbursement
435,Kelapa Hijau (2) 435,2015-05-03T17:00:00.000Z,10800000.0
380,Kebon Rusun (2) 380,2015-05-03T17:00:00.000Z,10800000.0
428,Tanah Merah (2) 428,2015-05-03T17:00:00.000Z,13500000.0
347,Kelapa Dua (2) 347,2015-05-03T17:00:00.000Z,10700000.0
814,Lagoa 814,2015-05-03T17:00:00.000Z,7200000.0
385,Kebon Rusun (2) 385,2015-05-03T17:00:00.000Z,12400000.0
452,Lagoa (2) 452,2015-05-03T17:00:00.000Z,15000000.0
72,Chibet (3) 72,2015-05-04T17:00:00.000Z,10300000.0
137,Melur (3) 137,2015-05-04T17:00:00.000Z,22300000.0
158,Mawar (3) 158,2015-05-04T17:00:00.000Z,18500000.0
166,Chibet (3) 166,2015-05-04T17:00:00.000Z,9700000.0
437,UKA (3) 437,2015-05-04T17:00:00.000Z,17500000.0
454,Kelapa Dua (2) 454,2015-05-04T17:00:00.000Z,14900000.0
189,UKA (3) 189,2015-05-04T17:00:00.000Z,16000000.0
141,Ksatriaan (2) 141,2015-05-05T17:00:00.000Z,16800000.0
817,Melati 817,2015-05-05T17:00:00.000Z,7400000.0
60,Beting (3) 60,2015-05-05T17:00:00.000Z,17000000.0
444,Bakti 444,2015-05-05T17:00:00.000Z,15000000.0
119,Sapi (2) 119,2015-05-05T17:00:00.000Z,24300000.0
120,Sapi (2) 120,2015-05-05T17:00:00.000Z,15500000.0
127,Tugu (2) 127,2015-05-05T17:00:00.000Z,21000000.0
81,Mundu (3) 81,2015-05-05T17:00:00.000Z,13000000.0
410,Jalan F (3) 410,2015-05-05T17:00:00.000Z,13400000.0
337,Mahoni (3) 337,2015-05-05T17:00:00.000Z,17500000.0
132,Mundu (3) 132,2015-05-05T17:00:00.000Z,12800000.0
501,Manggar 501,2015-05-06T17:00:00.000Z,14300000.0
57,Kelapa (3) 57,2015-05-06T17:00:00.000Z,11700000.0
815,Bulak Cabe 815,2015-05-06T17:00:00.000Z,6400000.0
117,RW 01 (3) 117,2015-05-06T17:00:00.000Z,13800000.0
62,RW 01 (3) 62,2015-05-06T17:00:00.000Z,19300000.0
816,Bakti 816,2015-05-06T17:00:00.000Z,6600000.0
371,Jalan F (3) 371,2015-05-06T17:00:00.000Z,24500000.0
131,Kelapa (3) 131,2015-05-06T17:00:00.000Z,17800000.0
121,Bambu (3) 121,2015-05-07T17:00:00.000Z,16000000.0
217,Cipinang (2) 217,2015-05-07T17:00:00.000Z,10800000.0
813,Melur 813,2015-05-07T17:00:00.000Z,5600000.0
818,BS 818,2015-05-07T17:00:00.000Z,7900000.0
171,Binangun (2) 171,2015-05-07T17:00:00.000Z,20300000.0
820,Kobra 820,2015-05-10T17:00:00.000Z,7500000.0
293,Kobra (2) 293 ,2015-05-10T17:00:00.000Z,9200000.0
135,RW 02 (3) 135,2015-05-11T17:00:00.000Z,16800000.0
82,RW 02 (3) 82,2015-05-11T17:00:00.000Z,17300000.0
431,Cemara (3) 431,2015-05-11T17:00:00.000Z,16700000.0
66,Nelayan (3) 66,2015-05-11T17:00:00.000Z,18700000.0
78,Cemara 78,2015-05-11T17:00:00.000Z,7800000.0
138,Nelayan (3) 138,2015-05-11T17:00:00.000Z,20100000.0
417,Swadaya (2) 417,2015-05-12T17:00:00.000Z,8300000.0
819,UKA 819,2015-05-12T17:00:00.000Z,7000000.0
184,Sawah Baru (2) 184,2015-05-12T17:00:00.000Z,13200000.0
1,Sawah Baru (2) 1,2015-05-12T17:00:00.000Z,10200000.0
816,Bakti 816,2015-05-06T17:00:00.000Z,6600000.0
815,Bulak Cabe 815,2015-05-06T17:00:00.000Z,6400000.0
371,Jalan F (3) 371,2015-05-06T17:00:00.000Z,24500000.0
62,RW 01 (3) 62,2015-05-06T17:00:00.000Z,19300000.0
117,RW 01 (3) 117,2015-05-06T17:00:00.000Z,13800000.0
501,Manggar 501,2015-05-06T17:00:00.000Z,14300000.0
57,Kelapa (3) 57,2015-05-06T17:00:00.000Z,11700000.0
131,Kelapa (3) 131,2015-05-06T17:00:00.000Z,17800000.0
121,Bambu (3) 121,2015-05-07T17:00:00.000Z,16000000.0
818,BS 818,2015-05-07T17:00:00.000Z,7900000.0
217,Cipinang (2) 217,2015-05-07T17:00:00.000Z,10800000.0
813,Melur 813,2015-05-07T17:00:00.000Z,5600000.0
171,Binangun (2) 171,2015-05-07T17:00:00.000Z,20300000.0
820,Kobra 820,2015-05-10T17:00:00.000Z,7500000.0
293,Kobra (2) 293 ,2015-05-10T17:00:00.000Z,9200000.0
431,Cemara (3) 431,2015-05-11T17:00:00.000Z,16700000.0
78,Cemara 78,2015-05-11T17:00:00.000Z,7800000.0
66,Nelayan (3) 66,2015-05-11T17:00:00.000Z,18700000.0
82,RW 02 (3) 82,2015-05-11T17:00:00.000Z,17300000.0
138,Nelayan (3) 138,2015-05-11T17:00:00.000Z,20100000.0
135,RW 02 (3) 135,2015-05-11T17:00:00.000Z,16800000.0
184,Sawah Baru (2) 184,2015-05-12T17:00:00.000Z,13200000.0
819,UKA 819,2015-05-12T17:00:00.000Z,7000000.0
430,UKA (2) 430,2015-05-12T17:00:00.000Z,10000000.0
417,Swadaya (2) 417,2015-05-12T17:00:00.000Z,8300000.0
1,Sawah Baru (2) 1,2015-05-12T17:00:00.000Z,10200000.0
823,Sate 823,2015-05-12T17:00:00.000Z,11600000.0
827,Dukuh 827,2015-05-14T17:00:00.000Z,6000000.0
276,Abror (2) 276,2015-05-14T17:00:00.000Z,12000000.0
420,Walang (2) 420,2015-05-14T17:00:00.000Z,11700000.0
105,Walang (2) 105,2015-05-14T17:00:00.000Z,13700000.0
439,Nakula (2) 439,2015-05-14T17:00:00.000Z,12800000.0
830,Kebon Kelapa 830,2015-05-14T17:00:00.000Z,5800000.0
829,Turi Jaya 829,2015-05-14T17:00:00.000Z,6000000.0
828,Mengkudu 828,2015-05-14T17:00:00.000Z,7400000.0
821,Tanah Merah 821,2015-05-14T17:00:00.000Z,9300000.0
824,Lagoa 824,2015-05-14T17:00:00.000Z,7800000.0
825,Lagao 825,2015-05-14T17:00:00.000Z,9500000.0
822,Alur Laut 822,2015-05-14T17:00:00.000Z,9900000.0
348,Kelapa Dua (2) 348,2015-05-17T17:00:00.000Z,10900000.0
826,Kelapa Dua 826,2015-05-17T17:00:00.000Z,6000000.0
462,Kebon Baru (2) 462,2015-05-17T17:00:00.000Z,15500000.0
461,Kebon Baru (2) 461,2015-05-17T17:00:00.000Z,15500000.0
542,Beting (2) 542,2015-05-17T17:00:00.000Z,12300000.0
411,Rumbia (2) 411,2015-05-18T17:00:00.000Z,8500000.0
837,Kebon Bawang 837,2015-05-18T17:00:00.000Z,9300000.0
831,Tanah Merah 831,2015-05-18T17:00:00.000Z,8800000.0
152,Buntu (4) 152,2015-05-18T17:00:00.000Z,11700000.0
154,Jalan B 154,2015-05-18T17:00:00.000Z,20000000.0
453,Lagoa (2) 453,2015-05-18T17:00:00.000Z,16000000.0
1,Sawah Baru (2) 1,2015-05-12T17:00:00.000Z,10200000.0
823,Sate 823,2015-05-12T17:00:00.000Z,11600000.0
827,Dukuh 827,2015-05-14T17:00:00.000Z,6000000.0
276,Abror (2) 276,2015-05-14T17:00:00.000Z,12000000.0
420,Walang (2) 420,2015-05-14T17:00:00.000Z,11700000.0
105,Walang (2) 105,2015-05-14T17:00:00.000Z,13700000.0
439,Nakula (2) 439,2015-05-14T17:00:00.000Z,12800000.0
830,Kebon Kelapa 830,2015-05-14T17:00:00.000Z,5800000.0
829,Turi Jaya 829,2015-05-14T17:00:00.000Z,6000000.0
828,Mengkudu 828,2015-05-14T17:00:00.000Z,7400000.0
821,Tanah Merah 821,2015-05-14T17:00:00.000Z,9300000.0
824,Lagoa 824,2015-05-14T17:00:00.000Z,7800000.0
825,Lagao 825,2015-05-14T17:00:00.000Z,9500000.0
822,Alur Laut 822,2015-05-14T17:00:00.000Z,9900000.0
348,Kelapa Dua (2) 348,2015-05-17T17:00:00.000Z,10900000.0
826,Kelapa Dua 826,2015-05-17T17:00:00.000Z,6000000.0
462,Kebon Baru (2) 462,2015-05-17T17:00:00.000Z,15500000.0
461,Kebon Baru (2) 461,2015-05-17T17:00:00.000Z,15500000.0
542,Beting (2) 542,2015-05-17T17:00:00.000Z,12300000.0
411,Rumbia (2) 411,2015-05-18T17:00:00.000Z,8500000.0
837,Kebon Bawang 837,2015-05-18T17:00:00.000Z,9300000.0
831,Tanah Merah 831,2015-05-18T17:00:00.000Z,8800000.0
152,Buntu (4) 152,2015-05-18T17:00:00.000Z,11700000.0
154,Jalan B 154,2015-05-18T17:00:00.000Z,20000000.0
453,Lagoa (2) 453,2015-05-18T17:00:00.000Z,16000000.0
470,At Taubah (3) 470,2015-05-18T17:00:00.000Z,14700000.0
836,Kebon Bawang 836,2015-05-18T17:00:00.000Z,8300000.0
159,Kakap (3) 159,2015-05-18T17:00:00.000Z,18100000.0
442,UKA (2) 442,2015-05-18T17:00:00.000Z,9900000.0
88,Buntu (4) 88,2015-05-18T17:00:00.000Z,12500000.0
61,Kakap (3) 61,2015-05-18T17:00:00.000Z,15900000.0
458,Gang Asem 458,2015-05-19T17:00:00.000Z,10100000.0
834,Tanah Merah 834,2015-05-19T17:00:00.000Z,8000000.0
538,Gang Fort 538,2015-05-19T17:00:00.000Z,10200000.0
149,Sawah Baru (2) 149,2015-05-19T17:00:00.000Z,9200000.0
148,Sawah Baru (2) 148,2015-05-19T17:00:00.000Z,10900000.0
537,Sindang (2) 537,2015-05-19T17:00:00.000Z,13500000.0
123,Mantang (3) 123,2015-05-19T17:00:00.000Z,16500000.0
275,Marunda 275,2015-05-19T17:00:00.000Z,8400000.0
22,Marunda 22,2015-05-19T17:00:00.000Z,6800000.0
412,Gang Damai 412,2015-05-19T17:00:00.000Z,12000000.0
835,Tanah Merah 835,2015-05-19T17:00:00.000Z,6700000.0
440,Manggar (2) 440,2015-05-19T17:00:00.000Z,10700000.0
463,Kelapa Kayu 463,2015-05-20T17:00:00.000Z,13800000.0
832,Marunda 832,2015-05-20T17:00:00.000Z,7000000.0
517,Marunda 517,2015-05-20T17:00:00.000Z,11200000.0
118,Lagoa (2) 118,2015-05-20T17:00:00.000Z,12100000.0
421,Jalan A (3) 421,2015-05-20T17:00:00.000Z,11600000.0
45,Belah Kapal (2) 45,2015-05-20T17:00:00.000Z,11500000.0
833,Belah Kapal 833,2015-05-20T17:00:00.000Z,8600000.0
470,At Taubah (3) 470,2015-05-18T17:00:00.000Z,14700000.0
836,Kebon Bawang 836,2015-05-18T17:00:00.000Z,8300000.0
159,Kakap (3) 159,2015-05-18T17:00:00.000Z,18100000.0
442,UKA (2) 442,2015-05-18T17:00:00.000Z,9900000.0
88,Buntu (4) 88,2015-05-18T17:00:00.000Z,12500000.0
61,Kakap (3) 61,2015-05-18T17:00:00.000Z,15900000.0
458,Gang Asem 458,2015-05-19T17:00:00.000Z,10100000.0
834,Tanah Merah 834,2015-05-19T17:00:00.000Z,8000000.0
538,Gang Fort 538,2015-05-19T17:00:00.000Z,10200000.0
149,Sawah Baru (2) 149,2015-05-19T17:00:00.000Z,9200000.0
148,Sawah Baru (2) 148,2015-05-19T17:00:00.000Z,10900000.0
537,Sindang (2) 537,2015-05-19T17:00:00.000Z,13500000.0
123,Mantang (3) 123,2015-05-19T17:00:00.000Z,16500000.0
275,Marunda 275,2015-05-19T17:00:00.000Z,8400000.0
22,Marunda 22,2015-05-19T17:00:00.000Z,6800000.0
412,Gang Damai 412,2015-05-19T17:00:00.000Z,12000000.0
835,Tanah Merah 835,2015-05-19T17:00:00.000Z,6700000.0
440,Manggar (2) 440,2015-05-19T17:00:00.000Z,10700000.0
463,Kelapa Kayu 463,2015-05-20T17:00:00.000Z,13800000.0
832,Marunda 832,2015-05-20T17:00:00.000Z,7000000.0
517,Marunda 517,2015-05-20T17:00:00.000Z,11200000.0
118,Lagoa (2) 118,2015-05-20T17:00:00.000Z,12100000.0
421,Jalan A (3) 421,2015-05-20T17:00:00.000Z,11600000.0
45,Belah Kapal (2) 45,2015-05-20T17:00:00.000Z,11500000.0
833,Belah Kapal 833,2015-05-20T17:00:00.000Z,8600000.0
433,Kelapa Kayu 433,2015-05-20T17:00:00.000Z,12600000.0
74,Rajungan (3) 74,2015-05-21T17:00:00.000Z,18500000.0
340,Rawa Indah (2) 340,2015-05-21T17:00:00.000Z,10700000.0
841,Rawa Indah 841,2015-05-21T17:00:00.000Z,6200000.0
176,Bambu (4) 176,2015-05-21T17:00:00.000Z,23500000.0
175,Belah Kapal 175,2015-05-24T17:00:00.000Z,15500000.0
167,Nelayan (3) 167,2015-05-24T17:00:00.000Z,17500000.0
77,Nelayan (3) 77,2015-05-24T17:00:00.000Z,11500000.0
284,Beting (2) 284,2015-05-25T17:00:00.000Z,12200000.0
332,Rawa Malang (2) 332,2015-05-25T17:00:00.000Z,7700000.0
451,Jalan F (3) 451,2015-05-25T17:00:00.000Z,12100000.0
401,Kampung Sawah (2) 401,2015-05-25T17:00:00.000Z,8600000.0
413,Kampung Sawah (2) 413,2015-05-25T17:00:00.000Z,9300000.0
838,Melur 838,2015-05-25T17:00:00.000Z,6900000.0
839,UKA 839,2015-05-25T17:00:00.000Z,7600000.0
87,Irnuf (3) 87,2015-05-25T17:00:00.000Z,15700000.0
840,UKA 840,2015-05-25T17:00:00.000Z,8600000.0
334,Rawa Malang (2) 334,2015-05-25T17:00:00.000Z,12300000.0
283,Deperla (2) 283,2015-05-25T17:00:00.000Z,13000000.0
