SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
GroupLoan,Incoming,10000.0,True,210,2014-08-13,2014-01-15,10000.0
GroupLoan,Incoming,10000.0,True,203,2014-08-13,2014-01-22,20000.0
GroupLoan,Incoming,5000.0,True,196,2014-08-13,2014-01-29,25000.0
GroupLoan,Incoming,10000.0,True,189,2014-08-13,2014-02-05,35000.0
GroupLoan,Incoming,10000.0,True,182,2014-08-13,2014-02-12,45000.0
GroupLoan,Incoming,10000.0,True,175,2014-08-13,2014-02-19,55000.0
GroupLoan,Incoming,10000.0,True,168,2014-08-13,2014-02-26,65000.0
GroupLoan,Incoming,10000.0,True,161,2014-08-13,2014-03-05,75000.0
GroupLoan,Incoming,10000.0,True,152,2014-08-13,2014-03-14,85000.0
GroupLoan,Incoming,10000.0,True,145,2014-08-13,2014-03-21,95000.0
Independent,Outgoing,150000.0,True,307,2015-01-29,2014-03-28,-55000.0
GroupLoan,Incoming,10000.0,True,124,2014-08-13,2014-04-11,-45000.0
GroupLoan,Incoming,10000.0,True,103,2014-08-13,2014-05-02,-35000.0
GroupLoan,Incoming,10000.0,True,96,2014-08-13,2014-05-09,-25000.0
GroupLoan,Incoming,5000.0,True,82,2014-08-13,2014-05-23,-20000.0
GroupLoan,Incoming,10000.0,True,75,2014-08-13,2014-05-30,-10000.0
GroupLoan,Incoming,10000.0,True,68,2014-08-13,2014-06-06,0.0
GroupLoan,Incoming,20000.0,True,76,2014-09-04,2014-06-20,20000.0
GroupLoan,Incoming,10000.0,True,62,2014-09-04,2014-07-04,30000.0
GroupLoan,Incoming,5000.0,True,27,2014-09-04,2014-08-08,35000.0
GroupLoan,Incoming,10000.0,True,20,2014-09-04,2014-08-15,45000.0
GroupLoan,Incoming,10000.0,True,13,2014-09-04,2014-08-22,55000.0
Independent,Outgoing,150000.0,True,25,2014-09-22,2014-08-28,-95000.0
GroupLoan,Incoming,5000.0,True,27,2014-10-02,2014-09-05,-90000.0
GroupLoan,Incoming,10000.0,True,20,2014-10-02,2014-09-12,-80000.0
GroupLoan,Incoming,10000.0,True,13,2014-10-02,2014-09-19,-70000.0
GroupLoan,Incoming,10000.0,True,6,2014-10-02,2014-09-26,-60000.0
GroupLoan,Incoming,10000.0,True,3,2014-10-06,2014-10-03,-50000.0
GroupLoan,Incoming,10000.0,True,3,2014-10-20,2014-10-17,-40000.0
GroupLoan,Incoming,5000.0,True,3,2014-10-27,2014-10-24,-35000.0
GroupLoan,Incoming,10000.0,True,3,2014-11-03,2014-10-31,-25000.0
GroupLoan,Incoming,10000.0,True,4,2014-11-11,2014-11-07,-15000.0
GroupLoan,Incoming,10000.0,True,3,2014-11-17,2014-11-14,-5000.0
GroupLoan,Incoming,10000.0,True,3,2014-11-24,2014-11-21,5000.0
GroupLoan,Incoming,10000.0,True,3,2014-12-01,2014-11-28,15000.0
GroupLoan,Incoming,10000.0,True,3,2014-12-08,2014-12-05,25000.0
GroupLoan,Incoming,10000.0,True,3,2014-12-15,2014-12-12,35000.0
GroupLoan,Incoming,5000.0,True,3,2015-01-12,2015-01-09,40000.0
GroupLoan,Incoming,5000.0,True,4,2015-01-20,2015-01-16,45000.0
GroupLoan,Incoming,5000.0,True,4,2015-01-27,2015-01-23,50000.0
GroupLoan,Incoming,5000.0,True,5,2015-02-04,2015-01-30,55000.0
GroupLoan,Incoming,5000.0,True,4,2015-02-10,2015-02-06,60000.0
GroupLoan,Incoming,5000.0,True,3,2015-02-16,2015-02-13,65000.0
GroupLoan,Incoming,5000.0,True,10,2015-03-02,2015-02-20,70000.0
GroupLoan,Incoming,5000.0,True,13,2015-03-19,2015-03-06,75000.0
GroupLoan,Incoming,5000.0,True,12,2015-04-01,2015-03-20,80000.0
GroupLoan,Incoming,5000.0,True,11,2015-04-07,2015-03-27,85000.0
GroupLoan,Incoming,5000.0,True,4,2015-04-14,2015-04-10,90000.0
GroupLoan,Incoming,5000.0,True,5,2015-04-22,2015-04-17,95000.0
GroupLoan,Incoming,5000.0,True,5,2015-05-13,2015-05-08,100000.0
GroupLoan,Incoming,5000.0,True,5,2015-05-20,2015-05-15,105000.0
GroupLoan,Incoming,5000.0,True,3,2015-06-01,2015-05-29,110000.0
GroupLoan,Incoming,5000.0,True,3,2015-06-08,2015-06-05,115000.0
GroupLoan,Incoming,5000.0,True,3,2015-06-15,2015-06-12,120000.0
GroupLoan,Incoming,5000.0,True,3,2015-06-22,2015-06-19,125000.0
GroupLoan,Incoming,5000.0,True,3,2015-06-29,2015-06-26,130000.0
Independent,Outgoing,80000.0,True,4,2015-06-30,2015-06-26,50000.0
