SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
Independent,Incoming,10000.0,True,304,2014-11-06,2014-01-06,10000.0
GroupLoan,Incoming,10000.0,True,212,2014-08-13,2014-01-13,20000.0
GroupLoan,Incoming,10000.0,True,205,2014-08-13,2014-01-20,30000.0
GroupLoan,Incoming,10000.0,True,191,2014-08-13,2014-02-03,40000.0
GroupLoan,Incoming,5000.0,True,184,2014-08-13,2014-02-10,45000.0
GroupLoan,Incoming,10000.0,True,177,2014-08-13,2014-02-17,55000.0
GroupLoan,Incoming,5000.0,True,170,2014-08-13,2014-02-24,60000.0
GroupLoan,Incoming,10000.0,True,163,2014-08-13,2014-03-03,70000.0
GroupLoan,Incoming,10000.0,True,156,2014-08-13,2014-03-10,80000.0
GroupLoan,Incoming,10000.0,True,149,2014-08-13,2014-03-17,90000.0
GroupLoan,Incoming,10000.0,True,142,2014-08-13,2014-03-24,100000.0
GroupLoan,Incoming,10000.0,True,128,2014-08-13,2014-04-07,110000.0
GroupLoan,Incoming,10000.0,True,121,2014-08-13,2014-04-14,120000.0
GroupLoan,Incoming,10000.0,True,114,2014-08-13,2014-04-21,130000.0
GroupLoan,Incoming,10000.0,True,107,2014-08-13,2014-04-28,140000.0
GroupLoan,Incoming,10000.0,True,100,2014-08-13,2014-05-05,150000.0
GroupLoan,Incoming,10000.0,True,93,2014-08-13,2014-05-12,160000.0
GroupLoan,Incoming,10000.0,True,86,2014-08-13,2014-05-19,170000.0
GroupLoan,Incoming,10000.0,True,79,2014-08-13,2014-05-26,180000.0
GroupLoan,Incoming,15000.0,True,72,2014-08-13,2014-06-02,195000.0
GroupLoan,Incoming,25000.0,True,74,2014-09-05,2014-06-23,220000.0
GroupLoan,Incoming,15000.0,True,67,2014-09-05,2014-06-30,235000.0
GroupLoan,Incoming,25000.0,True,60,2014-09-05,2014-07-07,260000.0
GroupLoan,Incoming,5000.0,True,53,2014-09-05,2014-07-14,265000.0
GroupLoan,Incoming,25000.0,True,32,2014-09-05,2014-08-04,290000.0
GroupLoan,Incoming,25000.0,True,25,2014-09-05,2014-08-11,315000.0
GroupLoan,Incoming,5000.0,True,18,2014-09-05,2014-08-18,320000.0
GroupLoan,Incoming,15000.0,True,11,2014-09-05,2014-08-25,335000.0
GroupLoan,Incoming,15000.0,True,29,2014-09-30,2014-09-01,350000.0
GroupLoan,Incoming,25000.0,True,22,2014-09-30,2014-09-08,375000.0
GroupLoan,Incoming,25000.0,True,15,2014-09-30,2014-09-15,400000.0
GroupLoan,Incoming,5000.0,True,8,2014-09-30,2014-09-22,405000.0
GroupLoan,Incoming,25000.0,True,1,2014-09-30,2014-09-29,430000.0
GroupLoan,Incoming,25000.0,True,1,2014-10-07,2014-10-06,455000.0
GroupLoan,Incoming,25000.0,True,1,2014-10-14,2014-10-13,480000.0
GroupLoan,Incoming,5000.0,True,1,2014-10-21,2014-10-20,485000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-28,2014-10-27,500000.0
GroupLoan,Incoming,25000.0,True,1,2014-11-04,2014-11-03,525000.0
Independent,Outgoing,525000.0,True,91,2015-02-05,2014-11-06,0.0
Independent,Outgoing,525000.0,True,1,2014-11-07,2014-11-06,-525000.0
GroupLoan,Incoming,25000.0,True,3,2014-11-13,2014-11-10,-500000.0
GroupLoan,Incoming,25000.0,True,1,2014-11-18,2014-11-17,-475000.0
GroupLoan,Incoming,25000.0,True,1,2014-11-25,2014-11-24,-450000.0
GroupLoan,Incoming,25000.0,True,1,2014-12-02,2014-12-01,-425000.0
GroupLoan,Incoming,25000.0,True,8,2014-12-16,2014-12-08,-400000.0
GroupLoan,Incoming,25000.0,True,1,2014-12-23,2014-12-22,-375000.0
GroupLoan,Incoming,10000.0,True,15,2015-01-13,2014-12-29,-365000.0
GroupLoan,Incoming,10000.0,True,8,2015-01-13,2015-01-05,-355000.0
GroupLoan,Incoming,10000.0,True,1,2015-01-13,2015-01-12,-345000.0
GroupLoan,Incoming,10000.0,True,4,2015-01-23,2015-01-19,-335000.0
GroupLoan,Incoming,10000.0,True,1,2015-01-27,2015-01-26,-325000.0
GroupLoan,Incoming,10000.0,True,2,2015-02-04,2015-02-02,-315000.0
