SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
Independent,Incoming,50000.0,True,398,2014-11-27,2013-10-25,50000.0
Independent,Outgoing,50000.0,True,335,2014-09-25,2013-10-25,0.0
GroupLoan,Incoming,20000.0,True,207,2014-08-12,2014-01-17,20000.0
Independent,Outgoing,960000.0,True,213,2014-09-18,2014-02-17,-940000.0
GroupLoan,Incoming,20000.0,True,151,2014-08-12,2014-03-14,-920000.0
GroupLoan,Incoming,10000.0,True,144,2014-08-12,2014-03-21,-910000.0
GroupLoan,Incoming,10000.0,True,137,2014-08-12,2014-03-28,-900000.0
GroupLoan,Incoming,50000.0,True,123,2014-08-12,2014-04-11,-850000.0
GroupLoan,Incoming,10000.0,True,109,2014-08-12,2014-04-25,-840000.0
Independent,Incoming,500000.0,True,141,2014-09-18,2014-04-30,-340000.0
GroupLoan,Incoming,30000.0,True,117,2014-09-03,2014-05-09,-310000.0
GroupLoan,Incoming,30000.0,True,110,2014-09-03,2014-05-16,-280000.0
Independent,Incoming,828700.0,False,0,2014-05-18,2014-05-18,548700.0
GroupLoan,Incoming,30000.0,True,103,2014-09-03,2014-05-23,578700.0
GroupLoan,Incoming,10000.0,True,96,2014-09-03,2014-05-30,588700.0
Independent,Outgoing,700000.0,True,181,2014-11-27,2014-05-30,-111300.0
GroupLoan,Incoming,10000.0,True,89,2014-09-03,2014-06-06,-101300.0
GroupLoan,Incoming,10000.0,True,82,2014-09-03,2014-06-13,-91300.0
GroupLoan,Incoming,10000.0,True,75,2014-09-03,2014-06-20,-81300.0
GroupLoan,Incoming,10000.0,True,68,2014-09-03,2014-06-27,-71300.0
GroupLoan,Incoming,10000.0,True,61,2014-09-03,2014-07-04,-61300.0
GroupLoan,Incoming,10000.0,True,54,2014-09-03,2014-07-11,-51300.0
Independent,Outgoing,200000.0,True,63,2014-09-19,2014-07-18,-251300.0
GroupLoan,Incoming,10000.0,True,47,2014-09-03,2014-07-18,-241300.0
GroupLoan,Incoming,10000.0,True,26,2014-09-03,2014-08-08,-231300.0
GroupLoan,Incoming,10000.0,True,19,2014-09-03,2014-08-15,-221300.0
GroupLoan,Incoming,10000.0,True,12,2014-09-03,2014-08-22,-211300.0
GroupLoan,Incoming,10000.0,True,5,2014-09-03,2014-08-29,-201300.0
GroupLoan,Incoming,10000.0,True,27,2014-10-02,2014-09-05,-191300.0
GroupLoan,Incoming,10000.0,True,20,2014-10-02,2014-09-12,-181300.0
GroupLoan,Incoming,10000.0,True,3,2014-10-06,2014-10-03,-171300.0
GroupLoan,Incoming,10000.0,True,3,2014-10-13,2014-10-10,-161300.0
GroupLoan,Incoming,20000.0,True,4,2014-11-11,2014-11-07,-141300.0
GroupLoan,Incoming,350000.0,True,3,2014-11-17,2014-11-14,208700.0
GroupLoan,Incoming,20000.0,True,3,2014-11-24,2014-11-21,228700.0
GroupLoan,Incoming,10000.0,True,3,2014-12-01,2014-11-28,238700.0
GroupLoan,Incoming,30000.0,True,3,2014-12-08,2014-12-05,268700.0
GroupLoan,Incoming,20000.0,True,3,2014-12-15,2014-12-12,288700.0
Independent,Outgoing,250000.0,True,1,2014-12-16,2014-12-15,38700.0
GroupLoan,Incoming,10000.0,True,4,2014-12-23,2014-12-19,48700.0
GroupLoan,Incoming,10000.0,True,3,2015-01-12,2015-01-09,58700.0
GroupLoan,Incoming,10000.0,True,4,2015-01-20,2015-01-16,68700.0
GroupLoan,Incoming,10000.0,True,4,2015-01-27,2015-01-23,78700.0
GroupLoan,Incoming,10000.0,True,4,2015-02-03,2015-01-30,88700.0
GroupLoan,Incoming,10000.0,True,4,2015-02-10,2015-02-06,98700.0
GroupLoan,Incoming,10000.0,True,3,2015-02-16,2015-02-13,108700.0
Independent,Outgoing,100000.0,True,13,2015-03-11,2015-02-26,8700.0
GroupLoan,Incoming,20000.0,True,13,2015-03-26,2015-03-13,28700.0
GroupLoan,Incoming,20000.0,True,12,2015-04-01,2015-03-20,48700.0
GroupLoan,Incoming,750000.0,True,5,2015-04-22,2015-04-17,798700.0
GroupLoan,Incoming,30000.0,True,10,2015-05-04,2015-04-24,828700.0
GroupLoan,Incoming,20000.0,True,5,2015-05-13,2015-05-08,848700.0
GroupLoan,Incoming,30000.0,True,5,2015-05-20,2015-05-15,878700.0
GroupLoan,Incoming,20000.0,True,3,2015-05-25,2015-05-22,898700.0
GroupLoan,Incoming,20000.0,True,3,2015-05-25,2015-05-22,918700.0
GroupLoan,Incoming,65000.0,True,3,2015-06-01,2015-05-29,983700.0
GroupLoan,Incoming,65000.0,True,3,2015-06-08,2015-06-05,1048700.0
GroupLoan,Incoming,40000.0,True,3,2015-06-15,2015-06-12,1088700.0
GroupLoan,Incoming,55000.0,True,3,2015-06-22,2015-06-19,1143700.0
GroupLoan,Incoming,20000.0,True,3,2015-06-29,2015-06-26,1163700.0
