SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
GroupLoan,Incoming,5000.0,True,175,2014-09-11,2014-03-20,5000.0
GroupLoan,Incoming,5000.0,True,168,2014-09-11,2014-03-27,10000.0
GroupLoan,Incoming,5000.0,True,161,2014-09-11,2014-04-03,15000.0
GroupLoan,Incoming,5000.0,True,154,2014-09-11,2014-04-10,20000.0
GroupLoan,Incoming,5000.0,True,147,2014-09-11,2014-04-17,25000.0
GroupLoan,Incoming,5000.0,True,140,2014-09-11,2014-04-24,30000.0
GroupLoan,Incoming,5000.0,True,126,2014-09-11,2014-05-08,35000.0
GroupLoan,Incoming,5000.0,True,112,2014-09-11,2014-05-22,40000.0
GroupLoan,Incoming,5000.0,True,98,2014-09-11,2014-06-05,45000.0
GroupLoan,Incoming,5000.0,True,91,2014-09-11,2014-06-12,50000.0
GroupLoan,Incoming,5000.0,True,84,2014-09-11,2014-06-19,55000.0
GroupLoan,Incoming,5000.0,True,77,2014-09-11,2014-06-26,60000.0
GroupLoan,Incoming,5000.0,True,70,2014-09-11,2014-07-03,65000.0
GroupLoan,Incoming,5000.0,True,63,2014-09-11,2014-07-10,70000.0
GroupLoan,Incoming,5000.0,True,56,2014-09-11,2014-07-17,75000.0
GroupLoan,Incoming,10000.0,True,35,2014-09-11,2014-08-07,85000.0
GroupLoan,Incoming,5000.0,True,28,2014-09-11,2014-08-14,90000.0
GroupLoan,Incoming,5000.0,True,21,2014-09-11,2014-08-21,95000.0
GroupLoan,Incoming,10000.0,True,22,2014-10-03,2014-09-11,105000.0
GroupLoan,Incoming,10000.0,True,8,2014-10-03,2014-09-25,115000.0
GroupLoan,Incoming,5000.0,True,1,2014-10-10,2014-10-09,120000.0
GroupLoan,Incoming,10000.0,True,1,2014-10-28,2014-10-27,130000.0
GroupLoan,Incoming,10000.0,True,1,2014-11-04,2014-11-03,140000.0
Independent,Outgoing,140000.0,True,1,2014-11-07,2014-11-06,0.0
Independent,Outgoing,140000.0,True,153,2015-04-08,2014-11-06,-140000.0
GroupLoan,Incoming,10000.0,True,3,2014-11-13,2014-11-10,-130000.0
GroupLoan,Incoming,5000.0,True,1,2014-11-18,2014-11-17,-125000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-02,2014-12-01,-115000.0
GroupLoan,Incoming,10000.0,True,8,2014-12-16,2014-12-08,-105000.0
GroupLoan,Incoming,5000.0,True,1,2015-01-06,2015-01-05,-100000.0
GroupLoan,Incoming,10000.0,True,10,2015-03-12,2015-03-02,-90000.0
GroupLoan,Incoming,10000.0,True,11,2015-03-20,2015-03-09,-80000.0
GroupLoan,Incoming,10000.0,True,9,2015-04-01,2015-03-23,-70000.0
GroupLoan,Incoming,10000.0,True,4,2015-04-24,2015-04-20,-60000.0
GroupLoan,Incoming,10000.0,True,8,2015-05-05,2015-04-27,-50000.0
GroupLoan,Incoming,5000.0,True,4,2015-05-08,2015-05-04,-45000.0
GroupLoan,Incoming,5000.0,True,4,2015-05-15,2015-05-11,-40000.0
GroupLoan,Incoming,5000.0,True,2,2015-05-20,2015-05-18,-35000.0
GroupLoan,Incoming,5000.0,True,1,2015-05-26,2015-05-25,-30000.0
Independent,Outgoing,100000.0,True,2,2015-06-03,2015-06-01,-130000.0
