SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
Independent,Incoming,80000.0,False,0,2014-05-18,2014-05-18,80000.0
GroupLoan,Incoming,10000.0,True,63,2014-08-12,2014-06-10,90000.0
Independent,Outgoing,90000.0,True,86,2014-09-19,2014-06-25,0.0
Independent,Outgoing,90000.0,True,219,2015-01-30,2014-06-25,-90000.0
GroupLoan,Incoming,10000.0,True,24,2014-08-29,2014-08-05,-80000.0
GroupLoan,Incoming,200000.0,True,1,2014-12-03,2014-12-02,120000.0
GroupLoan,Incoming,100000.0,True,1,2014-12-10,2014-12-09,220000.0
GroupLoan,Incoming,50000.0,True,1,2014-12-17,2014-12-16,270000.0
GroupLoan,Incoming,100000.0,True,1,2015-01-07,2015-01-06,370000.0
GroupLoan,Incoming,40000.0,True,2,2015-01-15,2015-01-13,410000.0
Independent,Outgoing,410000.0,True,3,2015-02-02,2015-01-30,0.0
