SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
GroupLoan,Incoming,5000.0,True,201,2014-08-05,2014-01-16,5000.0
GroupLoan,Incoming,5000.0,True,194,2014-08-05,2014-01-23,10000.0
GroupLoan,Incoming,5000.0,True,187,2014-08-05,2014-01-30,15000.0
GroupLoan,Incoming,10000.0,True,180,2014-08-05,2014-02-06,25000.0
GroupLoan,Incoming,10000.0,True,159,2014-08-05,2014-02-27,35000.0
GroupLoan,Incoming,5000.0,True,145,2014-08-05,2014-03-13,40000.0
GroupLoan,Incoming,10000.0,True,138,2014-08-05,2014-03-20,50000.0
GroupLoan,Incoming,10000.0,True,131,2014-08-05,2014-03-27,60000.0
GroupLoan,Incoming,10000.0,True,124,2014-08-05,2014-04-03,70000.0
GroupLoan,Incoming,10000.0,True,110,2014-08-05,2014-04-17,80000.0
GroupLoan,Incoming,10000.0,True,61,2014-08-05,2014-06-05,90000.0
GroupLoan,Incoming,10000.0,True,47,2014-08-05,2014-06-19,100000.0
GroupLoan,Incoming,10000.0,True,33,2014-08-05,2014-07-03,110000.0
Independent,Outgoing,110000.0,True,85,2014-10-07,2014-07-14,0.0
Independent,Outgoing,210000.0,True,185,2015-01-15,2014-07-14,-210000.0
GroupLoan,Incoming,10000.0,True,26,2014-09-02,2014-08-07,-200000.0
GroupLoan,Incoming,30000.0,True,12,2014-09-02,2014-08-21,-170000.0
GroupLoan,Incoming,15000.0,True,5,2014-09-02,2014-08-28,-155000.0
GroupLoan,Incoming,15000.0,True,28,2014-10-02,2014-09-04,-140000.0
GroupLoan,Incoming,20000.0,True,21,2014-10-02,2014-09-11,-120000.0
GroupLoan,Incoming,10000.0,True,14,2014-10-02,2014-09-18,-110000.0
GroupLoan,Incoming,10000.0,True,7,2014-10-02,2014-09-25,-100000.0
GroupLoan,Incoming,20000.0,True,1,2014-10-03,2014-10-02,-80000.0
GroupLoan,Incoming,10000.0,True,1,2014-10-10,2014-10-09,-70000.0
GroupLoan,Incoming,10000.0,True,1,2014-10-17,2014-10-16,-60000.0
GroupLoan,Incoming,10000.0,True,1,2014-10-31,2014-10-30,-50000.0
GroupLoan,Incoming,10000.0,True,4,2014-11-10,2014-11-06,-40000.0
GroupLoan,Incoming,10000.0,True,1,2014-11-14,2014-11-13,-30000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-05,2014-12-04,-20000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-12,2014-12-11,-10000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-19,2014-12-18,0.0
GroupLoan,Incoming,10000.0,True,8,2015-01-16,2015-01-08,10000.0
Independent,Outgoing,220000.0,True,11,2015-01-26,2015-01-15,-210000.0
GroupLoan,Incoming,10000.0,True,4,2015-01-26,2015-01-22,-200000.0
GroupLoan,Incoming,10000.0,True,42,2015-03-26,2015-02-12,-190000.0
GroupLoan,Incoming,20000.0,True,21,2015-03-26,2015-03-05,-170000.0
GroupLoan,Incoming,20000.0,True,1,2015-05-29,2015-05-28,-150000.0
GroupLoan,Incoming,10000.0,True,1,2015-06-05,2015-06-04,-140000.0
GroupLoan,Incoming,10000.0,True,1,2015-06-12,2015-06-11,-130000.0
Independent,Outgoing,70000.0,True,1,2015-06-23,2015-06-22,-200000.0
