SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
Independent,Incoming,10000.0,True,304,2014-11-06,2014-01-06,10000.0
GroupLoan,Incoming,10000.0,True,212,2014-08-13,2014-01-13,20000.0
GroupLoan,Incoming,10000.0,True,205,2014-08-13,2014-01-20,30000.0
GroupLoan,Incoming,10000.0,True,191,2014-08-13,2014-02-03,40000.0
GroupLoan,Incoming,10000.0,True,184,2014-08-13,2014-02-10,50000.0
GroupLoan,Incoming,10000.0,True,177,2014-08-13,2014-02-17,60000.0
GroupLoan,Incoming,20000.0,True,163,2014-08-13,2014-03-03,80000.0
GroupLoan,Incoming,10000.0,True,156,2014-08-13,2014-03-10,90000.0
GroupLoan,Incoming,10000.0,True,149,2014-08-13,2014-03-17,100000.0
GroupLoan,Incoming,10000.0,True,142,2014-08-13,2014-03-24,110000.0
GroupLoan,Incoming,10000.0,True,128,2014-08-13,2014-04-07,120000.0
GroupLoan,Incoming,10000.0,True,121,2014-08-13,2014-04-14,130000.0
GroupLoan,Incoming,10000.0,True,114,2014-08-13,2014-04-21,140000.0
GroupLoan,Incoming,10000.0,True,107,2014-08-13,2014-04-28,150000.0
GroupLoan,Incoming,10000.0,True,100,2014-08-13,2014-05-05,160000.0
GroupLoan,Incoming,10000.0,True,93,2014-08-13,2014-05-12,170000.0
GroupLoan,Incoming,10000.0,True,86,2014-08-13,2014-05-19,180000.0
GroupLoan,Incoming,10000.0,True,79,2014-08-13,2014-05-26,190000.0
GroupLoan,Incoming,10000.0,True,72,2014-08-13,2014-06-02,200000.0
Independent,Incoming,140000.0,True,102,2014-09-19,2014-06-09,340000.0
GroupLoan,Incoming,20000.0,True,74,2014-09-05,2014-06-23,360000.0
GroupLoan,Incoming,20000.0,True,67,2014-09-05,2014-06-30,380000.0
GroupLoan,Incoming,20000.0,True,60,2014-09-05,2014-07-07,400000.0
GroupLoan,Incoming,40000.0,True,53,2014-09-05,2014-07-14,440000.0
GroupLoan,Incoming,40000.0,True,32,2014-09-05,2014-08-04,480000.0
GroupLoan,Incoming,40000.0,True,25,2014-09-05,2014-08-11,520000.0
GroupLoan,Incoming,40000.0,True,18,2014-09-05,2014-08-18,560000.0
GroupLoan,Incoming,40000.0,True,11,2014-09-05,2014-08-25,600000.0
GroupLoan,Incoming,40000.0,True,29,2014-09-30,2014-09-01,640000.0
GroupLoan,Incoming,40000.0,True,22,2014-09-30,2014-09-08,680000.0
GroupLoan,Incoming,40000.0,True,15,2014-09-30,2014-09-15,720000.0
GroupLoan,Incoming,40000.0,True,8,2014-09-30,2014-09-22,760000.0
GroupLoan,Incoming,40000.0,True,1,2014-09-30,2014-09-29,800000.0
GroupLoan,Incoming,40000.0,True,1,2014-10-07,2014-10-06,840000.0
GroupLoan,Incoming,40000.0,True,1,2014-10-14,2014-10-13,880000.0
GroupLoan,Incoming,40000.0,True,1,2014-10-21,2014-10-20,920000.0
GroupLoan,Incoming,40000.0,True,1,2014-10-28,2014-10-27,960000.0
GroupLoan,Incoming,40000.0,True,1,2014-11-04,2014-11-03,1000000.0
Independent,Outgoing,1000000.0,True,1,2014-11-07,2014-11-06,0.0
Independent,Outgoing,1000000.0,True,137,2015-03-23,2014-11-06,-1000000.0
GroupLoan,Incoming,40000.0,True,3,2014-11-13,2014-11-10,-960000.0
GroupLoan,Incoming,40000.0,True,1,2014-11-18,2014-11-17,-920000.0
GroupLoan,Incoming,40000.0,True,1,2014-11-25,2014-11-24,-880000.0
GroupLoan,Incoming,40000.0,True,1,2014-12-02,2014-12-01,-840000.0
GroupLoan,Incoming,40000.0,True,8,2014-12-16,2014-12-08,-800000.0
GroupLoan,Incoming,40000.0,True,1,2014-12-16,2014-12-15,-760000.0
GroupLoan,Incoming,40000.0,True,1,2014-12-23,2014-12-22,-720000.0
GroupLoan,Incoming,70000.0,True,15,2015-01-13,2014-12-29,-650000.0
GroupLoan,Incoming,70000.0,True,8,2015-01-13,2015-01-05,-580000.0
GroupLoan,Incoming,70000.0,True,1,2015-01-13,2015-01-12,-510000.0
GroupLoan,Incoming,70000.0,True,4,2015-01-23,2015-01-19,-440000.0
GroupLoan,Incoming,70000.0,True,1,2015-01-27,2015-01-26,-370000.0
