SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
Independent,Outgoing,30000.0,True,231,2014-10-21,2014-03-04,-30000.0
GroupLoan,Incoming,30000.0,True,92,2014-06-04,2014-03-04,0.0
GroupLoan,Incoming,15000.0,True,122,2014-08-29,2014-04-29,15000.0
GroupLoan,Incoming,15000.0,True,115,2014-08-29,2014-05-06,30000.0
GroupLoan,Incoming,15000.0,True,108,2014-08-29,2014-05-13,45000.0
Independent,Incoming,5000.0,False,0,2014-05-18,2014-05-18,50000.0
GroupLoan,Incoming,15000.0,True,101,2014-08-29,2014-05-20,65000.0
GroupLoan,Incoming,15000.0,True,87,2014-08-29,2014-06-03,80000.0
GroupLoan,Incoming,15000.0,True,80,2014-08-29,2014-06-10,95000.0
GroupLoan,Incoming,15000.0,True,73,2014-08-29,2014-06-17,110000.0
GroupLoan,Incoming,15000.0,True,66,2014-08-29,2014-06-24,125000.0
GroupLoan,Incoming,15000.0,True,59,2014-08-29,2014-07-01,140000.0
GroupLoan,Incoming,15000.0,True,52,2014-08-29,2014-07-08,155000.0
GroupLoan,Incoming,15000.0,True,45,2014-08-29,2014-07-15,170000.0
GroupLoan,Incoming,15000.0,True,24,2014-08-29,2014-08-05,185000.0
GroupLoan,Incoming,15000.0,True,17,2014-08-29,2014-08-12,200000.0
GroupLoan,Incoming,15000.0,True,10,2014-08-29,2014-08-19,215000.0
GroupLoan,Incoming,15000.0,True,3,2014-08-29,2014-08-26,230000.0
GroupLoan,Incoming,15000.0,True,29,2014-10-01,2014-09-02,245000.0
GroupLoan,Incoming,15000.0,True,22,2014-10-01,2014-09-09,260000.0
GroupLoan,Incoming,15000.0,True,15,2014-10-01,2014-09-16,275000.0
GroupLoan,Incoming,15000.0,True,8,2014-10-01,2014-09-23,290000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-01,2014-09-30,305000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-08,2014-10-07,320000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-15,2014-10-14,335000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-22,2014-10-21,350000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-29,2014-10-28,365000.0
GroupLoan,Incoming,15000.0,True,1,2014-11-05,2014-11-04,380000.0
Independent,Outgoing,350000.0,True,194,2015-05-20,2014-11-07,30000.0
Independent,Outgoing,350000.0,True,3,2014-11-10,2014-11-07,-320000.0
GroupLoan,Incoming,10000.0,True,1,2014-11-19,2014-11-18,-310000.0
GroupLoan,Incoming,10000.0,True,1,2014-11-26,2014-11-25,-300000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-03,2014-12-02,-290000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-10,2014-12-09,-280000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-17,2014-12-16,-270000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-24,2014-12-23,-260000.0
GroupLoan,Incoming,10000.0,True,1,2015-01-07,2015-01-06,-250000.0
GroupLoan,Incoming,10000.0,True,2,2015-01-15,2015-01-13,-240000.0
GroupLoan,Incoming,10000.0,True,3,2015-01-23,2015-01-20,-230000.0
GroupLoan,Incoming,10000.0,True,2,2015-01-29,2015-01-27,-220000.0
GroupLoan,Incoming,10000.0,True,2,2015-02-05,2015-02-03,-210000.0
GroupLoan,Incoming,10000.0,True,9,2015-02-26,2015-02-17,-200000.0
GroupLoan,Incoming,10000.0,True,8,2015-03-04,2015-02-24,-190000.0
Independent,Outgoing,100000.0,True,8,2015-03-11,2015-03-03,-290000.0
GroupLoan,Incoming,10000.0,True,9,2015-03-12,2015-03-03,-280000.0
GroupLoan,Incoming,10000.0,True,13,2015-03-23,2015-03-10,-270000.0
GroupLoan,Incoming,10000.0,True,8,2015-04-01,2015-03-24,-260000.0
GroupLoan,Incoming,10000.0,True,8,2015-04-08,2015-03-31,-250000.0
GroupLoan,Incoming,10000.0,True,2,2015-04-16,2015-04-14,-240000.0
GroupLoan,Incoming,10000.0,True,6,2015-04-27,2015-04-21,-230000.0
GroupLoan,Incoming,10000.0,True,7,2015-05-05,2015-04-28,-220000.0
GroupLoan,Incoming,10000.0,True,6,2015-05-11,2015-05-05,-210000.0
GroupLoan,Incoming,10000.0,True,3,2015-05-15,2015-05-12,-200000.0
GroupLoan,Incoming,10000.0,True,1,2015-05-20,2015-05-19,-190000.0
Independent,Outgoing,150000.0,True,2,2015-05-22,2015-05-20,-340000.0
GroupLoan,Incoming,10000.0,True,2,2015-05-28,2015-05-26,-330000.0
