SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
GroupLoan,Incoming,15000.0,True,122,2014-08-29,2014-04-29,15000.0
GroupLoan,Incoming,15000.0,True,115,2014-08-29,2014-05-06,30000.0
GroupLoan,Incoming,15000.0,True,108,2014-08-29,2014-05-13,45000.0
Independent,Incoming,20000.0,False,0,2014-05-18,2014-05-18,65000.0
GroupLoan,Incoming,15000.0,True,101,2014-08-29,2014-05-20,80000.0
GroupLoan,Incoming,20000.0,True,87,2014-08-29,2014-06-03,100000.0
GroupLoan,Incoming,20000.0,True,80,2014-08-29,2014-06-10,120000.0
GroupLoan,Incoming,20000.0,True,73,2014-08-29,2014-06-17,140000.0
GroupLoan,Incoming,20000.0,True,66,2014-08-29,2014-06-24,160000.0
GroupLoan,Incoming,20000.0,True,59,2014-08-29,2014-07-01,180000.0
GroupLoan,Incoming,20000.0,True,24,2014-08-29,2014-08-05,200000.0
GroupLoan,Incoming,20000.0,True,17,2014-08-29,2014-08-12,220000.0
GroupLoan,Incoming,20000.0,True,10,2014-08-29,2014-08-19,240000.0
GroupLoan,Incoming,20000.0,True,3,2014-08-29,2014-08-26,260000.0
GroupLoan,Incoming,20000.0,True,29,2014-10-01,2014-09-02,280000.0
GroupLoan,Incoming,20000.0,True,22,2014-10-01,2014-09-09,300000.0
GroupLoan,Incoming,20000.0,True,15,2014-10-01,2014-09-16,320000.0
GroupLoan,Incoming,20000.0,True,8,2014-10-01,2014-09-23,340000.0
GroupLoan,Incoming,20000.0,True,1,2014-10-01,2014-09-30,360000.0
GroupLoan,Incoming,20000.0,True,1,2014-10-08,2014-10-07,380000.0
Independent,Outgoing,100000.0,False,0,2014-10-13,2014-10-13,280000.0
GroupLoan,Incoming,10000.0,True,1,2014-10-15,2014-10-14,290000.0
GroupLoan,Incoming,10000.0,True,1,2014-10-22,2014-10-21,300000.0
GroupLoan,Incoming,10000.0,True,1,2014-10-29,2014-10-28,310000.0
Independent,Outgoing,240000.0,True,1,2014-11-07,2014-11-06,70000.0
Independent,Outgoing,240000.0,True,81,2015-01-26,2014-11-06,-170000.0
GroupLoan,Incoming,10000.0,True,1,2014-11-19,2014-11-18,-160000.0
GroupLoan,Incoming,10000.0,True,1,2014-11-26,2014-11-25,-150000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-03,2014-12-02,-140000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-10,2014-12-09,-130000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-17,2014-12-16,-120000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-24,2014-12-23,-110000.0
GroupLoan,Incoming,5000.0,True,1,2015-01-07,2015-01-06,-105000.0
GroupLoan,Incoming,10000.0,True,2,2015-01-15,2015-01-13,-95000.0
GroupLoan,Incoming,10000.0,True,3,2015-01-23,2015-01-20,-85000.0
Independent,Outgoing,100000.0,True,1,2015-01-27,2015-01-26,-185000.0
GroupLoan,Incoming,10000.0,True,2,2015-01-29,2015-01-27,-175000.0
GroupLoan,Incoming,10000.0,True,2,2015-02-05,2015-02-03,-165000.0
Independent,Outgoing,85000.0,True,22,2015-03-11,2015-02-17,-250000.0
GroupLoan,Incoming,10000.0,True,9,2015-02-26,2015-02-17,-240000.0
GroupLoan,Incoming,10000.0,True,1,2015-05-20,2015-05-19,-230000.0
GroupLoan,Incoming,10000.0,True,1,2015-06-10,2015-06-09,-220000.0
GroupLoan,Incoming,5000.0,True,1,2015-06-17,2015-06-16,-215000.0
GroupLoan,Incoming,10000.0,True,2,2015-06-25,2015-06-23,-205000.0
GroupLoan,Incoming,10000.0,True,1,2015-07-01,2015-06-30,-195000.0
