SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
GroupLoan,Incoming,30000.0,True,132,2014-06-02,2014-01-21,30000.0
GroupLoan,Incoming,30000.0,True,125,2014-06-02,2014-01-28,60000.0
GroupLoan,Incoming,30000.0,True,118,2014-06-02,2014-02-04,90000.0
GroupLoan,Incoming,30000.0,True,111,2014-06-02,2014-02-11,120000.0
GroupLoan,Incoming,30000.0,True,104,2014-06-02,2014-02-18,150000.0
GroupLoan,Incoming,30000.0,True,97,2014-06-02,2014-02-25,180000.0
GroupLoan,Incoming,30000.0,True,90,2014-06-02,2014-03-04,210000.0
GroupLoan,Incoming,30000.0,True,83,2014-06-02,2014-03-11,240000.0
GroupLoan,Incoming,30000.0,True,76,2014-06-02,2014-03-18,270000.0
GroupLoan,Incoming,30000.0,True,69,2014-06-02,2014-03-25,300000.0
GroupLoan,Incoming,30000.0,True,62,2014-06-02,2014-04-01,330000.0
GroupLoan,Incoming,30000.0,True,55,2014-06-02,2014-04-08,360000.0
GroupLoan,Incoming,30000.0,True,48,2014-06-02,2014-04-15,390000.0
GroupLoan,Incoming,30000.0,True,118,2014-09-01,2014-05-06,420000.0
GroupLoan,Incoming,30000.0,True,111,2014-09-01,2014-05-13,450000.0
Independent,Incoming,210000.0,False,0,2014-05-18,2014-05-18,660000.0
GroupLoan,Incoming,30000.0,True,104,2014-09-01,2014-05-20,690000.0
GroupLoan,Incoming,30000.0,True,90,2014-09-01,2014-06-03,720000.0
GroupLoan,Incoming,30000.0,True,83,2014-09-01,2014-06-10,750000.0
GroupLoan,Incoming,30000.0,True,76,2014-09-01,2014-06-17,780000.0
GroupLoan,Incoming,30000.0,True,69,2014-09-01,2014-06-24,810000.0
GroupLoan,Incoming,30000.0,True,62,2014-09-01,2014-07-01,840000.0
GroupLoan,Incoming,30000.0,True,55,2014-09-01,2014-07-08,870000.0
GroupLoan,Incoming,30000.0,True,48,2014-09-01,2014-07-15,900000.0
GroupLoan,Incoming,30000.0,True,27,2014-09-01,2014-08-05,930000.0
GroupLoan,Incoming,30000.0,True,20,2014-09-01,2014-08-12,960000.0
GroupLoan,Incoming,30000.0,True,7,2014-09-01,2014-08-25,990000.0
GroupLoan,Incoming,30000.0,True,29,2014-09-30,2014-09-01,1020000.0
GroupLoan,Incoming,30000.0,True,22,2014-09-30,2014-09-08,1050000.0
GroupLoan,Incoming,30000.0,True,15,2014-09-30,2014-09-15,1080000.0
GroupLoan,Incoming,30000.0,True,8,2014-09-30,2014-09-22,1110000.0
GroupLoan,Incoming,30000.0,True,1,2014-09-30,2014-09-29,1140000.0
GroupLoan,Incoming,30000.0,True,1,2014-10-07,2014-10-06,1170000.0
GroupLoan,Incoming,30000.0,True,1,2014-10-14,2014-10-13,1200000.0
GroupLoan,Incoming,30000.0,True,1,2014-10-21,2014-10-20,1230000.0
GroupLoan,Incoming,30000.0,True,1,2014-10-28,2014-10-27,1260000.0
GroupLoan,Incoming,30000.0,True,1,2014-11-04,2014-11-03,1290000.0
Independent,Outgoing,1000000.0,True,1,2014-11-07,2014-11-06,290000.0
Independent,Outgoing,1000000.0,True,67,2015-01-12,2014-11-06,-710000.0
GroupLoan,Incoming,30000.0,True,1,2014-11-11,2014-11-10,-680000.0
GroupLoan,Incoming,30000.0,True,1,2014-11-18,2014-11-17,-650000.0
GroupLoan,Incoming,30000.0,True,1,2014-12-02,2014-12-01,-620000.0
GroupLoan,Incoming,30000.0,True,8,2014-12-16,2014-12-08,-590000.0
GroupLoan,Incoming,30000.0,True,1,2014-12-16,2014-12-15,-560000.0
GroupLoan,Incoming,30000.0,True,1,2014-12-23,2014-12-22,-530000.0
GroupLoan,Incoming,30000.0,True,8,2015-01-06,2014-12-29,-500000.0
GroupLoan,Incoming,30000.0,True,1,2015-01-06,2015-01-05,-470000.0
Independent,Outgoing,500000.0,True,1,2015-01-13,2015-01-12,-970000.0
GroupLoan,Incoming,30000.0,True,1,2015-01-13,2015-01-12,-940000.0
GroupLoan,Incoming,30000.0,True,4,2015-01-23,2015-01-19,-910000.0
GroupLoan,Incoming,30000.0,True,1,2015-01-27,2015-01-26,-880000.0
GroupLoan,Incoming,50000.0,True,2,2015-02-04,2015-02-02,-830000.0
GroupLoan,Incoming,30000.0,True,1,2015-02-10,2015-02-09,-800000.0
Independent,Outgoing,200000.0,True,1,2015-02-13,2015-02-12,-1000000.0
GroupLoan,Incoming,50000.0,True,1,2015-02-17,2015-02-16,-950000.0
GroupLoan,Incoming,50000.0,True,8,2015-03-03,2015-02-23,-900000.0
GroupLoan,Incoming,50000.0,True,10,2015-03-12,2015-03-02,-850000.0
GroupLoan,Incoming,50000.0,True,11,2015-03-20,2015-03-09,-800000.0
GroupLoan,Incoming,50000.0,True,11,2015-03-27,2015-03-16,-750000.0
Independent,Outgoing,100000.0,True,22,2015-04-14,2015-03-23,-850000.0
