SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
GroupLoan,Incoming,5000.0,True,85,2014-09-05,2014-06-12,5000.0
GroupLoan,Incoming,5000.0,True,78,2014-09-05,2014-06-19,10000.0
GroupLoan,Incoming,5000.0,True,71,2014-09-05,2014-06-26,15000.0
GroupLoan,Incoming,5000.0,True,64,2014-09-05,2014-07-03,20000.0
GroupLoan,Incoming,5000.0,True,57,2014-09-05,2014-07-10,25000.0
GroupLoan,Incoming,5000.0,True,50,2014-09-05,2014-07-17,30000.0
GroupLoan,Incoming,5000.0,True,29,2014-09-05,2014-08-07,35000.0
GroupLoan,Incoming,5000.0,True,22,2014-09-05,2014-08-14,40000.0
GroupLoan,Incoming,5000.0,True,15,2014-09-05,2014-08-21,45000.0
GroupLoan,Incoming,5000.0,True,8,2014-09-05,2014-08-28,50000.0
GroupLoan,Incoming,5000.0,True,29,2014-10-03,2014-09-04,55000.0
GroupLoan,Incoming,5000.0,True,22,2014-10-03,2014-09-11,60000.0
GroupLoan,Incoming,5000.0,True,15,2014-10-03,2014-09-18,65000.0
GroupLoan,Incoming,5000.0,True,8,2014-10-03,2014-09-25,70000.0
GroupLoan,Incoming,5000.0,True,1,2014-10-03,2014-10-02,75000.0
GroupLoan,Incoming,5000.0,True,1,2014-10-10,2014-10-09,80000.0
GroupLoan,Incoming,10000.0,True,1,2014-10-24,2014-10-23,90000.0
GroupLoan,Incoming,5000.0,True,1,2014-10-31,2014-10-30,95000.0
Independent,Outgoing,90000.0,True,119,2015-03-05,2014-11-06,5000.0
GroupLoan,Incoming,5000.0,True,4,2014-11-10,2014-11-06,10000.0
Independent,Outgoing,90000.0,True,1,2014-11-07,2014-11-06,-80000.0
GroupLoan,Incoming,5000.0,True,1,2014-11-14,2014-11-13,-75000.0
GroupLoan,Incoming,5000.0,True,1,2014-12-05,2014-12-04,-70000.0
GroupLoan,Incoming,5000.0,True,1,2014-12-12,2014-12-11,-65000.0
GroupLoan,Incoming,10000.0,True,1,2014-12-19,2014-12-18,-55000.0
GroupLoan,Incoming,10000.0,True,5,2015-01-13,2015-01-08,-45000.0
GroupLoan,Incoming,10000.0,True,4,2015-01-19,2015-01-15,-35000.0
GroupLoan,Incoming,5000.0,True,4,2015-02-09,2015-02-05,-30000.0
Independent,Outgoing,50000.0,True,14,2015-03-19,2015-03-05,-80000.0
GroupLoan,Incoming,5000.0,True,14,2015-03-19,2015-03-05,-75000.0
GroupLoan,Incoming,5000.0,True,13,2015-04-01,2015-03-19,-70000.0
GroupLoan,Incoming,5000.0,True,12,2015-04-07,2015-03-26,-65000.0
GroupLoan,Incoming,5000.0,True,6,2015-04-22,2015-04-16,-60000.0
GroupLoan,Incoming,5000.0,True,11,2015-05-04,2015-04-23,-55000.0
