SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
Independent,Incoming,100000.0,True,276,2014-09-25,2013-12-23,100000.0
Independent,Incoming,50000.0,True,262,2014-09-25,2014-01-06,150000.0
GroupLoan,Incoming,50000.0,True,141,2014-06-03,2014-01-13,200000.0
Independent,Outgoing,190000.0,True,223,2014-09-18,2014-02-07,10000.0
GroupLoan,Incoming,30000.0,True,113,2014-06-03,2014-02-10,40000.0
GroupLoan,Incoming,20000.0,True,106,2014-06-03,2014-02-17,60000.0
GroupLoan,Incoming,20000.0,True,99,2014-06-03,2014-02-24,80000.0
GroupLoan,Incoming,20000.0,True,85,2014-06-03,2014-03-10,100000.0
GroupLoan,Incoming,20000.0,True,78,2014-06-03,2014-03-17,120000.0
GroupLoan,Incoming,20000.0,True,71,2014-06-03,2014-03-24,140000.0
GroupLoan,Incoming,20000.0,True,57,2014-06-03,2014-04-07,160000.0
Independent,Outgoing,500000.0,True,161,2014-09-18,2014-04-10,-340000.0
GroupLoan,Incoming,55000.0,True,119,2014-09-01,2014-05-05,-285000.0
GroupLoan,Incoming,55000.0,True,112,2014-09-01,2014-05-12,-230000.0
Independent,Incoming,210000.0,False,0,2014-05-18,2014-05-18,-20000.0
GroupLoan,Incoming,55000.0,True,104,2014-09-01,2014-05-20,35000.0
GroupLoan,Incoming,55000.0,True,90,2014-09-01,2014-06-03,90000.0
GroupLoan,Incoming,55000.0,True,83,2014-09-01,2014-06-10,145000.0
GroupLoan,Incoming,55000.0,True,76,2014-09-01,2014-06-17,200000.0
GroupLoan,Incoming,55000.0,True,69,2014-09-01,2014-06-24,255000.0
Independent,Outgoing,300000.0,True,91,2014-09-25,2014-06-26,-45000.0
GroupLoan,Incoming,55000.0,True,62,2014-09-01,2014-07-01,10000.0
GroupLoan,Incoming,55000.0,True,55,2014-09-01,2014-07-08,65000.0
GroupLoan,Incoming,55000.0,True,48,2014-09-01,2014-07-15,120000.0
GroupLoan,Incoming,5000.0,True,27,2014-09-01,2014-08-05,125000.0
GroupLoan,Incoming,5000.0,True,13,2014-09-01,2014-08-19,130000.0
GroupLoan,Incoming,5000.0,True,6,2014-09-01,2014-08-26,135000.0
GroupLoan,Incoming,5000.0,True,29,2014-10-01,2014-09-02,140000.0
GroupLoan,Incoming,5000.0,True,22,2014-10-01,2014-09-09,145000.0
GroupLoan,Incoming,5000.0,True,1,2014-10-08,2014-10-07,150000.0
Independent,Outgoing,210000.0,True,1,2014-10-10,2014-10-09,-60000.0
Independent,Incoming,80000.0,False,-96,2014-09-25,2014-12-30,20000.0
