SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
GroupLoan,Incoming,35000.0,True,105,2014-09-05,2014-05-23,35000.0
GroupLoan,Incoming,35000.0,True,98,2014-09-05,2014-05-30,70000.0
GroupLoan,Incoming,20000.0,True,91,2014-09-05,2014-06-06,90000.0
GroupLoan,Incoming,20000.0,True,84,2014-09-05,2014-06-13,110000.0
GroupLoan,Incoming,20000.0,True,77,2014-09-05,2014-06-20,130000.0
GroupLoan,Incoming,20000.0,True,70,2014-09-05,2014-06-27,150000.0
GroupLoan,Incoming,20000.0,True,63,2014-09-05,2014-07-04,170000.0
GroupLoan,Incoming,20000.0,True,56,2014-09-05,2014-07-11,190000.0
GroupLoan,Incoming,20000.0,True,49,2014-09-05,2014-07-18,210000.0
GroupLoan,Incoming,20000.0,True,28,2014-09-05,2014-08-08,230000.0
GroupLoan,Incoming,20000.0,True,21,2014-09-05,2014-08-15,250000.0
GroupLoan,Incoming,20000.0,True,14,2014-09-05,2014-08-22,270000.0
GroupLoan,Incoming,20000.0,True,7,2014-09-05,2014-08-29,290000.0
GroupLoan,Incoming,30000.0,True,21,2014-10-03,2014-09-12,320000.0
GroupLoan,Incoming,20000.0,True,14,2014-10-03,2014-09-19,340000.0
GroupLoan,Incoming,20000.0,True,7,2014-10-03,2014-09-26,360000.0
GroupLoan,Incoming,20000.0,True,3,2014-10-06,2014-10-03,380000.0
Independent,Outgoing,80000.0,True,3,2014-10-13,2014-10-10,300000.0
Independent,Incoming,80000.0,True,248,2015-06-15,2014-10-10,380000.0
Independent,Outgoing,80000.0,True,248,2015-06-15,2014-10-10,300000.0
GroupLoan,Incoming,20000.0,True,3,2014-10-20,2014-10-17,320000.0
GroupLoan,Incoming,20000.0,True,3,2014-10-27,2014-10-24,340000.0
GroupLoan,Incoming,20000.0,True,3,2014-11-03,2014-10-31,360000.0
Independent,Outgoing,350000.0,True,221,2015-06-15,2014-11-06,10000.0
Independent,Outgoing,350000.0,True,1,2014-11-07,2014-11-06,-340000.0
GroupLoan,Incoming,20000.0,True,3,2014-12-01,2014-11-28,-320000.0
GroupLoan,Incoming,30000.0,True,3,2014-12-08,2014-12-05,-290000.0
GroupLoan,Incoming,30000.0,True,3,2014-12-15,2014-12-12,-260000.0
GroupLoan,Incoming,20000.0,True,3,2014-12-22,2014-12-19,-240000.0
GroupLoan,Incoming,30000.0,True,3,2015-01-12,2015-01-09,-210000.0
GroupLoan,Incoming,30000.0,True,6,2015-01-22,2015-01-16,-180000.0
GroupLoan,Incoming,20000.0,True,4,2015-01-27,2015-01-23,-160000.0
GroupLoan,Incoming,30000.0,True,5,2015-02-04,2015-01-30,-130000.0
GroupLoan,Incoming,30000.0,True,4,2015-02-10,2015-02-06,-100000.0
GroupLoan,Incoming,30000.0,True,3,2015-02-16,2015-02-13,-70000.0
GroupLoan,Incoming,30000.0,True,10,2015-03-02,2015-02-20,-40000.0
GroupLoan,Incoming,30000.0,True,12,2015-03-11,2015-02-27,-10000.0
GroupLoan,Incoming,30000.0,True,13,2015-03-19,2015-03-06,20000.0
GroupLoan,Incoming,20000.0,True,13,2015-03-26,2015-03-13,40000.0
Independent,Outgoing,100000.0,True,92,2015-06-15,2015-03-15,-60000.0
GroupLoan,Incoming,30000.0,True,12,2015-04-01,2015-03-20,-30000.0
Independent,Incoming,100000.0,True,84,2015-06-15,2015-03-23,70000.0
GroupLoan,Incoming,20000.0,True,11,2015-04-07,2015-03-27,90000.0
Independent,Outgoing,420000.0,True,13,2015-04-15,2015-04-02,-330000.0
GroupLoan,Incoming,30000.0,True,4,2015-04-14,2015-04-10,-300000.0
GroupLoan,Incoming,30000.0,True,6,2015-04-23,2015-04-17,-270000.0
GroupLoan,Incoming,20000.0,True,11,2015-05-05,2015-04-24,-250000.0
GroupLoan,Incoming,30000.0,True,5,2015-05-13,2015-05-08,-220000.0
GroupLoan,Incoming,30000.0,True,5,2015-05-20,2015-05-15,-190000.0
GroupLoan,Incoming,30000.0,True,3,2015-05-25,2015-05-22,-160000.0
GroupLoan,Incoming,10000.0,True,3,2015-06-01,2015-05-29,-150000.0
Independent,Outgoing,180000.0,True,1,2015-06-16,2015-06-15,-330000.0
GroupLoan,Incoming,10000.0,True,3,2015-06-22,2015-06-19,-320000.0
GroupLoan,Incoming,10000.0,True,3,2015-06-29,2015-06-26,-310000.0
